,Observation ID,Date,Time,Troop,Observers,Location,Latitude ,Longitude,Rain Type,Land Use,Temperature,Cloud Cover,Wind,Wilderness,Den Type,Park Habitat,Troop Number,Complete Count?,Group Spread,Number juveniles/ Sub-Adults,# Pups,# Pregnant,Pregnant third,Identifiable Individuals,Number sick,Illness Rank,Description of Signs,Number injured,Description of Injuries,Feces,# Feces,Urine,Anal Gland Secr.,Comments,Mix,Troop Name,Split,Columna1,Columna2,Columna3,AM/PM,Time up,Not seen,Columna4
B,CSL080204,2/8/2004,18:10,CSL,,,-17.80824,25.14622,,,,,,,,,41,,,18,,,,"orange, 150.420.3",,,,,,,,,,"Den site, activity: d",,,,,,,,,,
A,CSL090204,2/9/2004,9:50,CSL,,,-17.80669,25.14625,,,,,,,,,41,,,19,,,,"orange, 150.420.3",,,,,,,,,,"activity: f, p",,,,,,,,,,
B,CSL090204,2/9/2004,18:46,CSL,,,-17.80654,25.14585,,,,,,,,,41,,,19,,,,"orange, 150.420.3 ",,,,,,,,,,"19 juveniles, 22 adults, activity: d",,,,,,,,,,
,MAR120204,2/12/2004,11:00,marina,,,-17.80117,25.14814,,,,,,,,,,,,,,,,green/yellow collar,,,,,,,,,,green/yellow collar deployed,,,,,,,,,,
,FOR120204,2/12/2004,18:20,forestry,,,-17.80377,25.14747,,,,,,,,,,,,,,,,"greenyellow, orange, 150.420.3 + 149.560.1(Yellow)",,,,,,,,,,,,,,,,,,,,
,FOR130204,2/13/2004,9:30,forestry ,,,-17.80389,25.14773,,,,,,,,,,,,,,,,"greenyellow, orange, 150.420.3 + 149.560.1(Yellow)",,,,,,,,,,"activity: p, ru, r",,,,,,,,,,
,,2/13/2004,13:50,,,,-17.80227,25.1485,,,,,,,,,,,,,,,,"greenyellow, orange, 150.420.3 + 149.560.1(Yellow)",,,,,,,,,,"greenyellow, orange, 150.420.3 + 149.560.1(Yellow)",,,,,,,,,,
,MAR130204,2/13/2004,15:59,marina lodge,,,-17.80117,25.14865,,,,,,,,,,,,,,,,"greenyellow, orange, 150.420.3 + 149.560.1(Yellow)",,,,,,,,,,"activity: f, p, ru",,,,,,,,,,
,,2/13/2004,17:29,,,,-17.80081,25.14935,,,,,,,,,,,,,,,,"greenyellow, orange, 150.420.3 + 149.560.1(Yellow)",,,,,,,,,,,,,,,,,,,,
,HOS130204,2/13/2004,18:26,hospital,,,-17.80135,25.14999,,,,,,,,,47,,,22,,,,"greenyellow, orange, 150.420.3 + 149.560.1(Yellow)",,,,,,,,,,"22 juveniles, 25 adults, activity: d",,,,,,,,,,
,HOS140204,2/14/2004,7:45,hospital,,,,,,,,,,,,,,,,,,,,"greenyellow, orange, 150.420.3 + 149.560.1(Yellow)",1,,,,,,,,,activity: relocation,,,,,,,,,,
,FOR140204,2/14/2004,10:00,forestry,,,-17.80257,25.14808,,,,,,,,,,,,,,,,"greenyellow, orange, 150.420.3 + 149.560.1(Yellow)",,,,,,,,,,"activity: f, r, ru,fi, s",,,,,,,,,,
,CSL140204,2/14/2004,15:00,safari lodge ,,,-17.80654,25.14585,,,,,,,,,,,,,,,,"greenyellow, orange, 150.420.3 + 149.560.1(Yellow)",,,,,,,,,,activity: f,,,,,,,,,,
,MAR140204,2/14/2004,17:22,marina lodge ,,,-17.80194,25.14865,,,,,,,,,49,,,23,,,,"greenyellow, orange, 150.420.3 + 149.560.1(Yellow)",,,,,,,,,,"23 juveniles, 26 adults, activity: d",,,,,,,,,,
,MAR140204,2/15/2004,7:08,marina lodge,,,-17.80194,25.14865,,,,,,,,,45,,,21,,,,"greenyellow, orange, 150.420.3 + 149.560.1(Yellow)",,,,,,,,,,"21 juveniles, 24 adults, activity: f, di",,,,,,,,,,
,FOR150204,2/15/2004,14:21,forestry,,,-17.8038,25.14761,,,,,,,,,,,,,,,,"greenyellow, orange, 150.420.3 + 149.560.1(Yellow)",,,,,,,,,,,,,,,,,,,,
,MAR150204,2/15/2004,18:20,marina lodge,,,-17.80133,25.14909,,,,,,,,,53,,,26,,,,"greenyellow, orange, 150.420.3 + 149.560.1(Yellow)",,,,,,,,,,"26 juveniles, 27 adults, denning",,,,,,,,,,
A,MAR160204,2/16/2004,7:30,marina lodge,,,-17.80133,25.14909,,,,,,,,,,,,,,,,"greenyellow, orange, 150.420.3 + 149.560.1(Yellow)",,,,,,,,,,"activity: f, p, r",,,,,,,,,,
B,MAR160204,2/16/2004,12:20,marina,,,-17.8025,25.14865,,,,,,,,,20,,,9,,,,,,,,,,,,,,"9 juveniles, 11 adults",,,,,,,,,,
A,FOR160204,2/16/2004,13:20,forestry,,,,,,,,,,,,,27,,,14,,,,,,,,,,,,,,"14 juveniles, 13 adults, activity: relocation",,,,,,,,,,
B,FOR160204,2/16/2004,16:56,forestry,,,,,,,,,,,,,,,,,,,,"greenyellow, orange, 150.420.3 + 149.560.1(Yellow)",,,,,,,,,,"activity: f, di,fi, ru",,,,,,,,,,
C,FOR160204,2/16/2004,18:09,forestry,,,-17.80377,25.14747,,,,,,,,,,,,,,,,"greenyellow, orange, 150.420.3 + 149.560.1(Yellow)",,,,,,,,,,acivity: denning,,,,,,,,,,
A,MOW180204,2/18/2004,6:10,mowana lodge,,,-17.78245,25.15835,,,,,,,,,,,,,,,,,,,,,,,,,,acivity: denning,,,,,,,,,,
B,MOW180204,2/18/2004,13:51,mowana lodge,,,-17.78407,25.159,,,,,,,,,,,,,,,,"greenyellow, orange, 150.420.3 + 149.560.1(Yellow)",,,,,,,,,,"acitvity: f, di",,,,,,,,,,
C,MOW180204,2/18/2004,17:58,mowana lodge,,,-17.78245,25.15835,,,,,,,,,53,,,28,,,,"greenyellow, orange, 150.420.3 + 149.560.1(Yellow)",,,,,,,,,,"28 juveniles, 25 adults, denning",,,,,,,,,,
A,MOW200204,2/20/2004,6:30,mowana lodge,,,-17.78245,25.15835,,,,,,,,,,,,,,,,,,,,,,,,,,activity: denning,,,,,,,,,,
B,MOW200204,2/20/2004,8:30,mowana lodge,,,,,,,,,,,,,,,,,,,,"greenyellow, orange, 150.420.3 + 149.560.1(Yellow)",,,,,,,,,,"activity: f, p, r, fi",,,,,,,,,,
C,MOW200204,2/20/2004,14:21,mowana lodge,,,-17.78256,25.15817,,,,,,,,,,,,,,,,"greenyellow, orange, 150.420.3 + 149.560.1(Yellow)",,,,,,,,,,"activity: f, di",,,,,,,,,,
D,MOW200204,2/20/2004,15:31,mowana lodge,,,-17.78113,25.16012,,,,,,,,,,,,,,,,"greenyellow, orange, 150.420.3 + 149.560.1(Yellow)",,,,,,,,,,"activity: f, r, s",,,,,,,,,,
E,MOW200204,2/20/2004,17:00,mowana lodge,,,-17.78307,25.15894,,,,,,,,,,,,1,,,,"greenyellow, orange, 150.420.3 + 149.560.1(Yellow)",,,,,,,,,,activity: nb,,,,,,,,,,
F,MOW200204,2/20/2004,17:50,mowana lodge,,,-17.78245,25.15835,,,,,,,,,45,,,25,,,,"greenyellow, orange, 150.420.3 + 149.560.1(Yellow)",,,,,,,,,,"25 juveniles, 20 adults, denning",,,,,,,,,,
A,MOW210204,2/21/2004,9:00,mowana lodge,,,-17.78245,25.15835,,,,,,,,,,,,,,,,"greenyellow, orange, 150.420.3 + 149.560.1(Yellow)",,,,,,,,,,,,,,,,,,,,
B,MOW210204,2/21/2004,18:00,mowana lodge,,,-17.78245,25.15835,,,,,,,,,53,,,28,,,,"greenyellow, orange, 150.420.3 + 149.560.1(Yellow)",,,,,,,,,,"28 juveniles, 25 adults, activity: denning",,,,,,,,,,
A,MOW220204,2/22/2004,9:00,mowana lodge,,,-17.78245,25.15835,,,,,,,,,12,,,4,,,,"greenyellow, orange, 150.420.3 + 149.560.1(Yellow)",,,,,,,,,,"4 juveniles, 8 adults, activity, f,p",,,,,,,,,,
B,MOW220204,2/22/2004,15:00,mowana lodge,,,-17.78245,25.15835,,,,,,,,,,,,,,,,"greenyellow, orange, 150.420.3 + 149.560.1(Yellow)",,,,,,,,,,activity: denning,,,,,,,,,,
A,MOW240204,2/24/2004,8:45,mowana lodge,,,,,,,,,,,,,14,,,,,,,"greenyellow, orange, 150.420.3 + 149.560.1(Yellow)",1,,,,,,,,,"1 injured, activity: f, di",,,,,,,,,,
B,MOW240204,2/24/2004,18:00,mowana lodge,,,-17.78435,25.15838,,,,,,,,,47,,,22,,,,"greenyellow, orange, 150.420.3 + 149.560.1(Yellow)",,,,,,,,,,"22 juveniles, 25 adults, activity: denning",,,,,,,,,,
A,MOW250204,2/25/2004,7:00,mowana lodge,,,-17.78435,25.15838,,,,,,,,,,,,,,,,"greenyellow, orange, 150.420.3 + 149.560.1(Yellow)",,,,,,,,,,"acitvity: f, di, p",,,,,,,,,,
B,MOW250204,2/25/2004,7:00,mowana lodge,,,-17.78911,25.15815,,,,,,,,,,,,,,,,"greenyellow, orange, 150.420.3 + 149.560.1(Yellow)",,,,,,,,,,activity: wp,,,,,,,,,,
C,MOW250204,2/25/2004,15:00,mowana lodge,,,-17.78251,25.15815,,,,,,,,,,,,,,,,"greenyellow, orange, 150.420.3 + 149.560.1(Yellow)",,,,,,,,,,"acitvity: f, di, ru, fi, p",,,,,,,,,,
D,MOW250204,2/25/2004,18:00,mowana lodge,,,-17.78245,25.15835,,,,,,,,,49,,,23,,,,,,,,,,,,,,"23 juveniles, 26 adults, activity: denning",,,,,,,,,,
A,MOW260204,2/26/2004,6:30,mowana lodge,,,-17.78245,25.15835,,,,,,,,,,,,,,,,150.420.3 + 149.560.1(Yellow),,,,,,,,,,activity: denning,,,,,,,,,,
B,MOW260204,2/26/2004,8:30,mowana lodge,,,-17.8452,25.15827,,,,,,,,,,,,,,,,,,,,,,,,,,"activity: f, fi, ru",,,,,,,,,,
C,MOW260204,2/26/2004,15:00,mowana lodge,,,-17.78435,25.15838,,,,,,,,,,,,,,,,,,,,,,,,,,"activity, f, fi, r, 5 juveniles",,,,,,,,,,
D,MOW260204,2/26/2004,17:50,mowana lodge,,,-17.78435,25.15838,,,,,,,,,49,,,24,,,,150.420.3,,,,,,,,,,"24 juveniles,25 adults, activity: f, fi, r",,,,,,,,,,
A,MOW270204,2/27/2004,7:30,mowana lodge,,,-17.8452,25.15827,,,,,,,,,52,,,34,,,,,,,,,,,,,,"34 juveniles, 18 adults, activity: f",,,,,,,,,,
B,MOW270204,2/27/2004,8:00,mowana lodge,,,-17.8452,25.15827,,,,,,,,,29,,,18,,,,"greenyellow, orange",,,,,,,,,,"18 juveniles, 11 adults, activity: f, p, ru, they split (1st group)",,,,,,,,,,
C,MOW270204,2/27/2004,8:00,mowana lodge,,,-17.78396,25.15865,,,,,,,,,23,,,16,,,,"greenyellow, orange",,,,,,,,,,"16 juveniles, 7 adults, activity, f, p, fi, ru",,,,,,,,,,
D,MOW270204,2/27/2004,17:30,mowana lodge,,,-17.78435,25.15838,,,,,,,,,,,,,,,,"greenyellow, orange",,,,,,,,,,"activity: fi, f",,,,,,,,,,
E,MOW270204,2/27/2004,17:50,mowana lodge,,,-17.78435,25.15838,,,,,,,,,44,,,24,,,,"greenyellow, orange",,,,,,,,,,"24 juveniles, 20 adults, activity: d",,,,,,,,,,
,MOW280204,2/28/2004,9:00,mowana lodge,,,-17.78435,25.15838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,MOW290204,2/29/2004,9:50,mowana lodge,,,-17.78435,25.15838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,MOW290204,2/29/2004,18:00,mowana lodge,,,-17.78435,25.15838,,,,,,,,,55,,,26,,,,,,,,,,,,,,"26 juveniles, 29 adults, activity: denning",,,,,,,,,,
,CSL040311,3/4/2011,,CSL,,,-17.80634,25.14649,,,,,,,,,17,,,,,,,"ID: BMCAP7, collar freq: 150.570.7",,,,,,,,,,,,,,,,,,,,
ok,MOW230111,1/23/2011,,MOW,ELISE,Chobe River College School,,,,,,,,,,,15,No,,,1,,,,,,,,,,,,,seen with pups,,, ,,,,,,,
,CCH230111,1/23/2011,,CCH,,,,,,,,,,,,,,,,,,,,"BMCAP10, male, pink collar",,,,,,,,,,"BMCAP10, male, pink collar- attacked radiocollared male with new troop",1,,,,,,,,,
ok,CSL051211,12/5/2011,,CSL,ROB,,,,,,,,,,,,17,,,,,Several,,,,,,,,,,,,Several females preg,,,,,,,,,,
ok,NPG061211,12/6/2011,,NPG,ROB,,,,,,,,,,,,13,,,,,Several,,,1,,thin and old looking,,,,,,,"Several females preg, 1 sick- thin and old looking",,,,,,,,,,
ok,MOW061211,12/7/2011,,MOW,CISCO,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
ok,CCH071211,12/7/2011,,CCH,ROB,Lodge service area,,,,,,,,,,,10,,,,2,,,,2,,"1 ADULT SNEEZING, 1A ABSCESS ON FACE",,,,,,,,,,,,,,,,,
ok,OPG071211,12/7/2011,,Old Park Gate,ROB,Old Park gate,,,,,,,,,,,13,,,,,,,,,,,1,1 LIMPING FRONT FOOT,,,,,,,,,,,,,,,
ok,SEF081211,12/8/2011,,SEF,ROB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FORAGING IN DENSE BUSH,,,,,,,,,,
ok,CGL131211,12/13/2011,,CGL,ROB,Game Lodge service area,,,,,,,,,,,34,,,,4,,,,,,,,,,,,,,,,,,,,,,,
ok,OPG131211,12/13/2011,,Old Park gate,ROB,Old Park gate,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
ok,CGL141211,12/14/2011,,CGL,ROB,Game Lodge service area,,,,,,,,,,,44,,,,4,,,BM18311,,,,,,,,,,1 ADULT SEEN DEAD (BM18311),,,,,,,,,,
ok,BBD141211,12/14/2011,,BBD,ROB,Start of Bushbuck drive,,,,,,,,,,,18,,,,,,,,1,,1 SICK- VERY THIN,,,,,,,,,,,,,,,,,
ok,UNK141211,12/14/2011,,UNK,ROB,Sedudu Valley,,,,,,,,,,,14+5,,,,,,,,,,,,,,,,,SEEN MOVING PUPS,,,,,,,,,,
ok,UNK141211,12/14/2011,,UNK,ROB,DWNP ENTRANCE,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
ok,HPP1511211,12/15/2011,,Hippo Pools,ROB,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,
ok,KUBU040112,1/4/2012,6:54,0,CLAIRE,"Den under drain, 2nd gate near DHL near Mario's Meat Market",,,,,,,,,Drain,,,,,,,,,,,,,,,,,,,Heard at 6:54am but dogs running around ,,,,,,,AM,,,
ok,KUBU050112,1/5/2012,7:18,KUBU,CLAIRE,Buy n' build,Den in drain near back entrance to buy n' build,,,,,,,,,,5,No,,,,,,,,,,,,,,,,"Dogs scared them into buy n' build, followed into Kubu resort, 1 ate egg",,,,,,,AM,,,
ok,CSL050112,1/5/2012,,CSL,CLAIRE,Found foraging on road into CSL camp ground,,,,,,,,,,,20,No,,,8 to 9,,,,,,,,,,,,,foraging,,,,,,,PM,,,
ok,CSL060112,1/6/2012,,CSL,CLAIRE,Den under bush in CSL campground near water tower,,,,,,,,,,,20,No,,,,,,,,,,,,,,,,"Arrived at 5:10pm, in bed at 7pm",,,,,,,PM,,,
ok,CSL060112,1/6/2012,5:30,CSL,CLAIRE,Den under bush in CSL campground near water tower,,,,,,,,,,,20,No,,,,,,,,,,,,,,,,"Half group already foraging, pups not up. Took weights box, 6 got onto scales",,,,,,,AM,,,
ok,CSL110112,1/11/2012,5:55,CSL,CLAIRE,Under T2 tented camp in CSL,,,,,,,,,,,19,No,,,,,,,,,,,,,,,,Half group up at 5:55 and foraging. All but one ate egg (sourpuss). Started dying individuals,,,,,,,AM,,,
ok,CSL160112,1/16/2012,6:14,CSL,CLAIRE,Den under health and beauty boat house in CSL,,,,,,,,,,,20,No,,,,,,,,,,,,,,,,Pups foraging with group,,,,,,,AM,,,
ok,WA160112,1/16/2012,,Water Affairs,CLAIRE,Foraging in police station,,,,,,,,,,,23,,,12,,,,,,,,1,"collared individual bad limp, right front leg",,,,,"12 juvs, quite habituated, collared individual bad limp, right front leg",,,,,,,AM,,,
ok,CSL170112,1/17/2012,6:10,CSL,CLAIRE,Weighed 7 individuals,Den under health and beauty boat house in CSL,,,,,,,,,,23,,,,7-Jan,,,,,,,,,,,,,,,,,,,,AM,,,
ok,CSL190112,1/19/2012,5:58,CSL,CLAIRE,Den under health and beauty boat house in CSL,,,,,,,,,Building,,30,No,,,14,,,,,,,,,,,,,16+ adults 14 pups,,,,,,,AM,Time up,,
ok,UNKDW250112,1/25/2012,,UNK,ROB,DWNP BUILDING,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
ok,CSL250112,1/25/2012,,CSL,CLAIRE,In bushes by centre on airport road,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pup hit by car on airport road,,,,,,,PM,,,
ok,MOW300112,1/30/2012,,MOW,ROB/CISCO,Mowana African Village,,,,,,,,,,,13+5,,,,,,,,,,,,,,,,,,,,,,,,,,,
ok,SEF310112,1/31/2012,,SEF,ROB,Sefalana ,,,,,,,,,,,27,,,,17,,,,,,,,,,,,,,,,,,,,,,,
ok,MOW030212,2/3/2012,,MOW,ROB/CISCO,Mowana building site,,,,,,,,,,,12+2,,,,,,,,,,,,,,,,,"Group disturbed by builders, capture not successful",,,,,,,,,,
ok,CCH060212,2/6/2012,,CCH,ROB,Lodge entrance,,,,,,,,,,,17,,,,1,,,,1,,1 adult looking thin,,,,,,,"1 tiny pup present, 1 adult looking thin",,,,,,,,,,
ok,CSL060212,2/6/2012,,CSL,ROB,Between Safari Lodge and BDF,,,,,,,,,,,15+7,,,,,,,,,,,,,,,,,,,,,,,,,,,
ok,SEF060212,2/6/2012,,SEF,CLAIRE,Den under metal sheets in Sefalana carpark,,,,,,,,,Metal sheet,,11,,,,1,,,,,,,,,,,,,Collared female ate egg,,,,,,,AM,,,
ok,WA070212,2/7/2012,6:15,Water Affairs,CLAIRE,Den under palette at Chobe Land Board,,,,,,,,,,,23,,,,,,,,,,,,,,,,,Five individuals very good and ate egg,,,,,,,AM,,,
ok,CGL070212,2/7/2012,,CGL,ROB,Game Lodge service area,,,,,,,,,,,35,No,,,,,,,,,,,,,,,,"Approximate number seen, group freaked out",,,,,,,PM,,,
,SEF070212,2/7/2012,,SEF,ROB,Sefalana ,,,,,,,,,,,27,,,,17,,,,,,,,,,,,,,,,,,,,,,,
ok,SEF080212,2/8/2012,,SEF,ROB,Prison,,,,,,,,,,,22,,,,14,1,,,,,,,,,,,,,,,,,,,,,,
ok,CSL080212,2/8/2012,6:20,CSL,CLAIRE,Den under pond in Tim's house (CSL),,,,,,,,,Building,,20,No,,,4,4,,,,,,,,,,,,"4 preg, 11 marked indidivuals seen, dyed 4 pups ",,,,,,,AM,,,
ok,CCH090212,2/9/2012,,CCH,ROB,Chilwero service area,,,,,,,,,,,21,,,7,1,,,,,,,,,,,,,"7 juvs, 13 adults, 1 pup heard",,,,,,,,,,
ok,CSL090212,2/9/2012,6:39,CSL,CLAIRE,Den under health and beauty boat house in CSL,,,,,,,,,,,30,,,,12,,,,,,,2,"Silas limping badly on back left leg, one other juv limping on front right leg",,,,,,,,,,,,AM,,,
ok,CSL100212,2/10/2012,6:15,CSL,CLAIRE,Den under health and beauty boat house in CSL,,,,,,,,,,,29,,,,12,,,,1,,"TB limping on front right paw, foraging away from group, lethargic",,,,,,,"TB limping on front right paw, foraging away from group, lethargic",,,,,,,,,,
ok,CSL130212,2/13/2012,6:38,CSL,CLAIRE,Under green shed near carpark entrance at CSL,,,,,,,,,,,27,,,,11,,,,,,,,,,,,,16 adults 11 pups,,,,,,,AM,,,
ok,CSL170212,2/17/2012,6:18,CSL,CLAIRE,Den under health and beauty boat house in CSL,,,,,,,,,Building,,27,,,,12,4,,,,,,,,,,,,"MB, SHMB, crooked tail and one unmarked pregnant",,,,,,,AM,,,
