,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Observation ID,Date,Time,Troop,Observers,Location,Latitude ,Longitude,Rain Type,Land Use,Temperature,Cloud Cover,Wind,Wilderness,Den Type,Park Habitat,Troop Number,Complete Count?,Group Spread,Number juveniles/ Sub-Adults,# Pups,# Pregnant,Pregnant third,Identifiable Individuals,Number sick,Illness Rank,Description of Signs,Number injured,Description of Injuries,Feces,Urine,Anal Gland Secr.,Comments,Mix,Troop Name,Split,Columna1,Columna2,Columna3,Columna4
,MOW040917,4-Sep-15,11:15,MOW,Stephanie and Nisha,Bush between Garden Lodge and Mowana golf course,-17.7902162,25.157463,,,,,,,,,Unable to determine,,,0,,,,Green collar; pink collare; radiocollar,Unable to determine,,,Unable to determine,,no,no,no,Running away through thick bush,,,,,,,
,SEF040915,4-Sep-15,12:00,SEF,Stephanie and Nisha,Buildings next to Sefalana and behind Haskins,-17.784983,25.1756805,,,,,,,,,25,,,0,,,,two radiocollars (SEF? & THEBE?); one old radiocollar; one radiocollar on an indivudal with half a tail; orange collar,1,5,5 - emaciated; hunched back,0,,no,no,no,16 individuals by building next to Sefalana; 9 individuals behind Haskins; strong signal from both radiocollars; both troops together; difficult to indentify the individual troops,1,Sef/Thebe,,,,,
,THEBE040915,4-Sep-15,12:00,THEBE,Stephanie and Nisha,Buildings next to Sefalana and behind Haskins,-17.784983,25.1756805,,,,,,,,,25,,,0,,,,two radiocollars (SEF? & THEBE?); one old radiocollar; one radiocollar on an indivudal with half a tail; orange collar,1,6,6 - emaciated; hunched back,0,,no,no,no,16 individuals by building next to Sefalana; 9 individuals behind Haskins; strong signal from both radiocollars; both troops together; difficult to indentify the individual troops,1,Sef/Thebe,,,,,
,,4-Sep-15,12:45,KUBU,Stephanie and Nisha,Possibly underground in front of the Nel's house,-,-,,,,,,,,,Unable to determine,,,0,,,,Unable to determine,Unable to determine,,,Unable to determine,,no,no,no,Could not be seen,,,,,,,
,,4-Sep-15,13:30,WA,Stephanie and Nisha,Rocks behind the laundromat,-17.798192,25.1566717,,,,,,,,,Unable to determine,,,0,,,,Blue collar with yellow stripes; orange collar,Unable to determine,,,Unable to determine,,no,no,no,Denning inside the rock pile,,,,,,,
,,10-Sep-15,10:50,CGL,Stephanie and Warwick,CGL lawns,-17.840647,25.0766078,,,,,,,,,20,,,7,,,,two radiocollars  ,6,,All had nose and face lesions and were emaciated; one had a missing nose; one had swollen testes,6,face and nose lesions,no,no,no,Lying in the sun on the CGL lawns; many troop individuals looking sick; not disturbed by us,,,,,,,
,,10-Sep-15,12:30,CSL,Stephanie and Warwick,-,-,-,,,,,,,,,-,,,-,,,,-,-,,-,-,-,-,-,-,Collar has fallen off; Retrieved from under the mokoros next to the spa,,,,,,,
,,10-Sep-15,14:40,MOW,Stephanie and Warwick,-,-,-,,,,,,,,,-,,,-,,,,-,-,,-,-,-,-,-,-,Collar signal at the end of Seboba near Mowana but area inaccessible,,,,,,,
,,29-Sep-15,10:32,MOW,Stephanie and Nisha,Brett McDonald's house,-17.7814533,25.1617894,,,,,,,,,42,,,0,,,,Yellow collar; orange collar; dark blue collar; radiocollar,1,,6,0,,no,no,no,Resting in the shade next to a small bird bath in the bush next to the house,,,,,,,
,,29-Sep-15,11:21,SEF,Stephanie and Nisha,Under a Land Cruiser scrap at Thebe River Safaris,-17.7855092,25.1820508,,,,,,,,,Unable to determine,,,0,,,,Unable to determine,Unable to determine,,,Unable to determine,,no,no,no,Lying under the car in thick grass so could not be seen,,,,,,,
,,29-Sep-15,11:45,THEBE,Stephanie and Nisha,-,-,-,,,,,,,,,-,,,-,,,,-,-,,-,-,-,-,-,-,Collar signal from outside Thebe's boundary fence by campsites 9 and 10; area inaccessible,,,,,,,
,,23-Oct-15,9:00,FOR,Stephanie and Nisha,Behind Choppies,-17.80515,25.14682,,,,,,,,,15,,,0,,,,Radiocollar,0,,,0,,no,no,no,Running through thick bush; difficult to count and observe,,,,,,,
,,23-Oct-15,9:30,WA,Stephanie and Nisha,Old House,-17.79172,25.15608,,,,,,,,,15,,,0,,,,Radiocollar; blue collar with yellow stripes; orange collar; white collar; 1/4 tail,1,2,2 - emaciated; hunched back; swollen testes and face,1,6,no,yes,no,"Lots of scent-marking; rolling in the dirt; ""dancing""; very tame",,,,,,,
,,22-Oct-15,9:34,MOW,Stephanie and Nisha,Mowana side of Seboba,-17.78252,25.16488,,,,,,,,,7,,,0,,,,Radiocollar,0,,,0,,no,no,no,Running past near the rapids; behind a fence therefore inaccessible,,,,,,,
,,23-Oct-15,10:30,CCH,Stephanie and Nisha,-,-,-,,,,,,,,,-,,,-,,,,-,-,,-,-,-,-,-,-,Strong signal from arround chalet 5 at CCH but no sight of the troop; clooar fallen off?,,,,,,,
?,,23-Oct-15,9:45,THEBE,Stephanie and Nisha,-,-,-,,,,,,,,,-,,,-,,,,-,-,,-,-,-,-,-,-,"Could not find a collar signal;Scanned from the seep, to above the dumpsite, to Mowana; Collar dead?",,,,,,,
,,22-Oct-15,8:15,KUBU,Stephanie and Nisha,Kubu Lodge parking area,-17.7956228,25.2276564,,,,,,,,,8,,,0,,,,Radiocollar; pink collar,0,,,0,,no,no,no,Very skittish,,,,,,,
,,22-Oct-15,9:00,SEF,Stephanie and Nisha,Abandoned caravan left of Thebe River Safaris,-17.78588,25.18062,,,,,,,,,23,,,0,,,,Current radiocollar; old radiocollar on individual with half a tail,1,7,7 - emaciated,0,,no,yes,no,Resting under the caravan; very tame,,,,,,,
,,2-Nov-15,9:15,KUBU,Stephanie,Kubu Lodge kitchen area,-17.7956228,25.2276564,,,,,,,,,7,,,0,,,,Radiocollar; pink collar,0,,,0,,no,no,no,Foraging,,,,,,,
?,,4-Nov-15,7:00,THEBE,Mark and Stephanie,-,-,-,,,,,,,,,-,,,-,,,,-,-,,-,-,-,-,-,-,No signal; tracked for a at least an hour in every direction ,,,,,,,
,,29-Oct-15,17:00,MOW,Stephanie,Mowana spa,-17.7844978,25.1579082,,,,,,,,,26,,,0,,,,Radiocollar; blue collar with yellow band,0,,,0,,no,no,no,Attacked by dogs at the staff housing; two killed but bodies not recovered,,,,,,,
,,30-Oct-15,7:50,FOR,Stephanie and Nisha,By the church,-17.79173,25.15606,,,,,,,,,17,,,0,,,,Radiocollar; Charlotte,0,,,2,8 - both Charlotte and the radiocollar not using left back legs,no,no,no,Running across the tar road; many pregnant females,,,,,,,
,,30-Oct-15,16:30,WA,Stephanie and Nisha,CDC gardens,-17.799474,25.1542711,,,,,,,,,13,,,0,,,,Radiocollar; radiocollar,0,,,0,,no,no,no,No signal from the radiocollar,,,,,,,
,,30-Oct-15,8:20,MOW,Stephanie and Nisha,Mowana golf course,-17.78538,25.15813,,,,,,,,,17,,,0,,,,Blue collar with yellow band,0,,,0,,no,no,no,Ran under the deck at the spa; readiocollar signal picked up in Seboba but could not locate the troop,,,,,,,
,,30-Oct-15,9:00,SEF,Stephanie and Nisha,Dept of Engineering and Building,-17.78488,25.17605,,,,,,,,,16,,,0,,,,Radiocollar,0,,,1,8 - injured tail,no,no,no,Foraging in rubbish; radiocollared individual appeared pregnant,,,,,,,
,,30-Oct-15,9:20,THEBE,Stephanie and Nisha,-,-,-,,,,,,,,,-,,,-,,,,-,-,,-,-,-,-,-,-,No signal,,,,,,,
,,30-Oct-15,15:28,KUBU,Stephanie and Nisha,-,-,-,,,,,,,,,-,,,-,,,,-,-,,-,-,-,-,-,-,No signal,,,,,,,
,,30-Oct-15,16:05,CCH,Stephanie and Nisha,Water tanks at CCH,-17.8277323,25.1380786,,,,,,,,,10,,,0,,,,None,0,,,0,,no,no,no,Ran under the water tanks; could not see the radiocollar but strong signal from the troop,,,,,,,
,,5-Nov-15,8:30,WA,Stephanie and Nisha,Behind CDC,-17.7992595,25.1549363,,,,,,,,,19,,,0,,,,Orange collar; white collar,0,,,1,2-severely emaciated; hunched back,no,no,no,No sight of the radiocollar but individual with the troop; sick individual caught and euthanased,,,,,,,
,,13-Nov-15,11:15,MOW,Stephanie and Nisha,Mowana golf course,,,,,,,,,,,-,,,0,,,,Radiocollar,0,,,0,,no,no,no,Running through thick bush; difficult to count and observe,,,,,,,
,,13-Nov-15,9:45,SEF,Stephanie and Nisha,Thebe River Safaris,,,,,,,,,,,17,,,0,,,,None,0,,,1,9 - bent tail,no,no,no,Foraging on the front lawns,,,,,,,
,,13-Nov-15,9:15,Unknown,Stephanie and Nisha,&Beyond offices,,,,,,,,,,,7,,,0,,,,Orange collar,0,,,0,,no,no,no,Maybe Thebe troop; very skittish,,,,,,,
,,13-Nov-15,10:30,KUBU,Stephanie and Nisha,Private property in front of Ngina Safaris,,,,,,,,,,,-,,,-,,,,-,-,,-,-,-,no,no,no,In private property; could not observe,,,,,,,
,,13-Nov-15,11:00,WA,Stephanie and Nisha,Rocks behind the laundromat,-17.798192,25.1566717,,,,,,,,,-,,,-,,,,-,-,,-,-,-,no,no,no,Inside the rock pile; could not count or observe,,,,,,,
,,9-Dec-15,9:45,Unknown,CARACAL team,CARACAL World of Wildlife,,,,,,,,,,,8,,,0,,,,Old radiocollar,0,,,0,,no,no,no,Running behind the toilets at the WoW; maybe the CSL troop,,,,,,,
,,21-Nov-15,11:45,CCH,Stephanie and Lipa,Chobe Chilwero lawns,,,,,,,,,,,13,,,4,,,,Radiocollar,1,,5,1,6 - lesions on the face,no,no,no,Four very small pups,,,,,,,
,,24-Dec-15,9:00,Unknown,CARACAL team,Past Serondella,-17.82648,24.91036,,,,,,,,,10,,,-,,,,-,-,,-,-,-,no,no,no,Troop in the park at one of their densites,,,,,,,
,,29-Dec-15,8:00,FARMS,Stephanie and Lipa,Rubish pile near entrance,,,,,,,,,,,8,,,-,,,,-,-,,-,-,-,no,no,no,,,,,,,,
,,29-Dec-15,10:00,FOR,CA and Nick,bush behind water affairs,-17.82736,24.9241,,,,,,,,,,,,-,,,,-,-,,-,-,-,no,no,no,Security guard saw them go there and the collar is working-- possible den site,,,,,,,
,,29-Dec-15,10:55,WA,CA and Nick,Inside Water Lily lodge,-17.79475,25.15399,,,,,,,,,7,,,4,,,,"radiocollar, orange, white",1,4,"4- emaciated, swollen testes",,,no,no,no,the orange collar is the sick individual,,,,,,,
,,30-Dec-15,10:30,KUBU,CA,Kubu reception,-17.79508,25.22762,,,,,,,,,10,,,5,,,,"radiocollar, pink",-,,-,-,-,no,no,no,"one seemed emaciated, but from a distance so not sure if sick ",,,,,,,
,,30-Dec-15,16:40,CCH,CA and Nick,Maintenance (under the green water tanks),-17.8277323,25.1380786,,,,,,,,,2,,,-,,,,radiocollar,-,,-,-,-,no,no,no,,,,,,,,
,,31-Dec-15,7:00,KAZI,CA,in front of Kazungula Police Department,-17.80398,25.24512,,,,,,,,,8,,,4,,,,-,-,,-,-,-,no,no,no,Possible den in the culvert ,,,,,,,
,,31-Dec-15,11:02,MOW,Marci,golf course near staff housing,-,-,,,,,,,,,16,,,4,,,,-,-,,-,-,-,no,no,no,"going into bushbehind staff housing (she says that there are at least 10 pups, but she didn't see them this time)",,,,,,,
,,2-Jan-16,15:30,KUBU,Sean,Behind his house,-,-,,,,,,,,,8,,,4,,,,radiocollar,-,,-,-,-,no,no,no,He also thinks one may be sick,,,,,,,
,,3-Jan-16,AM,MOW,CA,maintenance,17.78275,25.16033,,,,,,,,,7,,,-,,,,-,-,,-,-,-,no,no,no,Going towards Seboba ,,,,,,,
,,3-Jan-16,18:00,"Individual ""Nubbins""","CA, Nick, Lipa",Marina,-,-,,,,,,,,,1,,,-,,,,"old radiocollar with tip of tail missing, aka Nubbins",1,7,"7- emaciated, swollen testes, fearlessness",-,-,no,no,no,"foraging alone and often in trash- we followed him towards spar, but he never met up with another troop",,,,,,,
,,3-Jan-16,19:00,FOR,"CA, Nick, Lipa",Den site beside police station,17.80426,25.14888,,,,,,,,,-,,,-,,,,radiocollar,-,,-,-,-,no,no,no,hear them inside den,,,,,,,
,,4-Jan-16,6:58,CSL,CA,infront of bush lodge sign,-,-,,,,,,,,,5,,,2,,,,-,-,,-,-,-,no,no,no,not official number- some were in the bush,,,,,,,
,,4-Jan-16,17:45,MOW,CA and Nick,MOW-D1 (under tin at Brett Mcdonald's driveway),17.78184,25.1613,,,,,,,,,12,,,5,,,,,,,,,,,,,,,,,,,,
,,4-Jan-16,18:00,KUBU,CA and Nick,beside the stables,17.80405,25.24574,,,,,,,,,9,,,4,,,,"radiocollar, pink",1,4,4- emaciated,-,-,no,no,no,"still a bit far away, but looks sick ",,,,,,,
,,4-Jan-16,19:00,FOR,CA and Nick,FOR-D1,17.80426,25.14888,,,,,,,,,not seen,,,-,,,,-,-,,-,-,-,no,no,no,inside den,,,,,,,
,,5-Jan-16,8:00,CSL,CA and Steph,front lawns ,17.80667,25.14589,,,,,,,,,11,,,7,,,,-,2,7,"7- emaciated, sneezing and 5- emaciated and lethargic ",-,-,no,no,no,,,,,,,,
,,5-Jan-16,16:00,FOR,CA,den site at labor,,,,,,,,,,,not seen,,,-,,,,-,-,,-,-,-,no,no,no,,,,,,,,
,,5-Jan-16,18:15,KUBU,CA,under culvert near Mike's shop,-,-,,,,,,,,,not seen,,,-,,,,-,-,,-,-,-,no,no,no,,,,,,,,
,,6-Jan-16,17:30,CSL,CA,Den site at front lawns,,,,,,,,,,,2,,,-,,,,BM injury ,-,,-,-,-,no,no,no,the others are inside the den,,,,,,,
,,6-Jan-16,17:40,FOR,CA,FOR-D1,17.80426,25.14888,,,,,,,,,1,,,-,,,,-,-,,-,-,-,no,no,no,,,,,,,,
,,6-Jan-16,18:04,KUBU,CA,culvert near Mike's garage,-,-,,,,,,,,,not seen,,,-,,,,-,-,,-,-,-,no,no,no,,,,,,,,
,,7-Jan-16,9:04,KUBU,CA,from reception to campsite,-,-,,,,,,,,,10,,,-,,,,-,-,,-,-,-,no,no,no,,,,,,,,
,,7-Jan-16,16:30,FOR,CA,FOR-D1,-,-,,,,,,,,,2,,,-,,,,-,-,,-,-,-,yes,no,no,camera set,,,,,,,
,,7-Jan-16,18:30,MOW,CA and Nick,MOW-D1 (under tin at Brett Mcdonald's driveway),17.78184,25.1613,,,,,,,,,13,,,7 (2 are sub-adults),,,,-,-,,-,-,-,no,no,no,Confident about troop number,,,,,,,
,,8-Jan-16,10:30,CCH,CA,Chalet 3,17.78627,25.165,,,,,,,,,not seen,,,-,,,,-,-,,-,-,-,no ,no,no,inside den,,,,,,,
,,8-Jan-16,15:30,KUBU,Sharon,reception,-,-,,,,,,,,,7,,,-,,,,-,-,,-,-,-,no,no,no,She didn't think one looks sick,,,,,,,
,,8-Jan-16,16:30,FOR,CA,FOR-D1,17.80426,25.14888,,,,,,,,,not seen,,,-,,,,-,-,,-,-,-,no,no,no,inside den,,,,,,,
,,11-Jan-16,9:00,KUBU,CA,-,-,-,,,,,,,,,-,,,-,,,,-,-,,-,-,-,no,no,no,No signal ,,,,,,,
A,,11-Jan-16,10:00,CSL,CA,in front of Miriam's house,-,-,,,,,,,,,5,,,-,,,,Choppie,-,,-,-,-,yes,no,yes,capture BM31716 (Choppie got a collar),,,,,,,
,,11-Jan-16,17:30,CCH,CA,Chalet 3,17.78627,25.165,,,,,,,,,not seen,,,-,,,,-,-,,-,-,-,-,-,-,inside den,,,,,,,
,,11-Jan-16,16:00,KAZI,CA,Crossing road near funeral place,17.83685,25.0993,,,,,,,,,5,,,2,,,,-,-,,-,-,-,no,no,no,,,,,,,,
B,,11-Jan-16,18:00,CSL,CA and Steph,CSL lawns,-,-,,,,,,,,,12,,,5,,,,Choppie ,3,8,8- two had had bleeding noses and sneezing 5- one was emaciated and throwing up,1- biltong,-,yes,no,no,,,,,,,,
,,11-Jan-16,19:15,WA,CA and Steph,Rocks behind laundromat,17.79822,25.15671,,,,,,,,,not seen,,,-,,,,-,-,,-,-,-,yes,no,no,,,,,,,,
,,11-Jan-16,19:30,FOR,CA and Steph,under tin near labor,,,,,,,,,,,not seen,,,-,,,,-,-,,-,-,-,no,no,no,,,,,,,,
,,11-Jan-16,20:00,MOGO,CA and Steph,very faint signal near front of golf course (towards the road),-,-,,,,,,,,,not seen,,,-,,,,-,-,,-,-,-,no,no,no,,,,,,,,
,,12-Jan-16,10:16,MOGO,CA,MOW-D2,17.79968,25.24802,,,,,,,,,2,,,-,,,,-,-,,-,-,-,yes,no,no,,,,,,,,
,CSL120116,12-Jan-16,10:30,CSL,CA,gully behind kitchens,-,-,,,,,,,,,7,,,-,,,,-,-,,-,-,-,no,no,no,,,,,,,,
,CCH120116,12-Jan-16,17:38,CCH,CA,Chalet 1,17.82628,25.13815,,,,,,,,,7,No,,1,,,,Half tail,-,,-,-,-,no,no,no,,,,,,,,
,CSL120116,12-Jan-16,18:14,CSL,CA and Lipa,gully behind kitchens and CSL-D2,17.82747,25.138,,,,,,,,,4,,,1,,,,-,-,,-,1- biltong,-,no ,no,no,,,,,,,,
,FOR120116,12-Jan-16,18:40,FOR,CA and Lipa,Ntema's,-,-,,,,,,,,,not seen,,,-,,,,-,-,,-,-,-,yes,no,no,signal in den at labor,,,,,,,
,WA120116,12-Jan-16,19:20,WA,CA and Lipa,Chicken coops,-,-,,,,,,,,,not seen,,,-,,,,-,-,,-,-,-,no ,no,no,We didn't go inside because they have been a problem here,,,,,,,
,THEBE130116,13-Jan-16,8:03,THEBE,CA,Near pool at Thebe,-,-,,,,,,,,,4,No,,-,,,,-,-,,-,-,-,no,no,no,others calling in bush closer to river,,,,,,,
,CGL130116,13-Jan-16,10:00,CGL,"CA, Warwick, Larry",CGL front lawns,-,-,,,,,,,,,18,,,-,,,,-,2,-,-,-,-,no,no,no,capture,,,,,,,
A,WA130116,13-Jan-16,11:34,WA,CA,Under DEK trailor near bus station,17.79737,25.15754,,,,,,,,,8,,,3,,,,"radiocollar, orange",-,,-,-,-,no,no,no,,,,,,,,
,CCH130116,13-Jan-16,17:38,CCH,CA,Chalet 1,17.82628,25.13815,,,,,,,,,7,No,,1,,,,Half tail,-,,-,-,-,no,no,no,,,,,,,,
B,WA130116,13-Jan-16,19:15,WA,CA,House in Kapamade (sp?),17.79615,25.15774,,,,,,,,,12,,,5,,,,Radiocollar,-,,-,-,-,no,no,no,,,,,,,,
,FOR130116,13-Jan-16,19:30,FOR,CA,infront of labor,17.80421,25.14878,,,,,,,,,5,,,6,,,,-,-,,-,-,-,no,no,no,,,,,,,,
,MOGO130116,13-Jan-16,18:35,MOGO,CA,MOW-D2,17.79968,25.24802,,,,,,,,,3,No,,-,,,,-,-,,-,-,-,no,no,no,,,,,,,,
,WCE140116,14-Jan-16,8:15,WCEast,CA and Warwick,Park waterfront,17.80432,25.14869,,,,,,,,,4,,,-,,,,-,-,,-,-,-,no,no,no,left camera,,,,,,,
,CGL140116,14-Jan-16,11:00,CGL,CA and Warwick,old truck near house past maintenance,17.84295,25.07788,,,,,,,,,20,No,,-,,,,New Radio collar,-,,-,-,-,no,no,no,"New radiocollar with troop; very timid, they ran into the bush when they saw us",,,,,,,
,WCW140116,14-Jan-16,12:00,WCWST,CA and Warwick,Near GL,17.84156,25.08399,,,,,,,,,13,,,4,,,,-,-,,-,-,-,no,no,no,Active den site- left camera,,,,,,,
,KUBU140116,14-Jan-16,19:23,KUBU,CA,culvert near Shabine (sp?),17.79741,25.2298,,,,,,,,,not seen,,,-,,,,-,-,,-,-,-,no,no,no,"Signal inside, but gate is locked",,,,,,,
,WA140116,14-Jan-16,17:30,WA,CA,Behind the house closest to WA-D1,17.84112,25.08436,,,,,,,,,-,,,-,,,,-,-,,-,-,-,no,no,no,Signal in that direction; also saw kids throwing rocks and the neighbors had called Wildlife that day about relocating them,,,,,,,
A,KUBU150116,15-Jan-16,8:15,KUBU,CA,Signal in bush behind Kgotla,-,-,,,,,,,,,not seen ,,,-,,,,-,-,,-,-,-,yes,no,no,16 feces samples collected from latrine site,,,,,,,
B,KUBU150116,15-Jan-16,15:25,KUBU,CA,-,17.79919,25.23038,,,,,,,,,10,,,4,,,,Radiocollar/ pink plastic,-,,-,-,-,no,no,no,,,,,,,,
,CSL150116,15-Jan-16,17:30,CSL,CA,close to river near campsites,-,-,,,,,,,,,17,,,3,,,,Radiocollar,-,,-,1-biltong,-,no,no,no,Biltong was at Mariam's house alone,,,,,,,
,CCH150116,15-Jan-16,18:00,CCH,CA,Chalet 1,17.82628,25.13815,,,,,,,,,12,No,,-,,,,-,-,,-,-,-,no,no,no,,,,,,,,
,SP170116,17-Jan-16,18:00,Sewage Ponds,"Mark, Butch, Sean",past last sewage pond,17.80627,25.183376,,,,,,,,,50,No,,-,,,,-,-,,-,-,-,no,no,no,Active den site- left camera,,,,,,,
,CCH180116,18-Jan-16,15:20,CCH,CA,Chalet 1,17.82628,25.13815,,,,,,,,,8,,,4,,2,,-,-,,-,-,-,no,no,no,,,,,,,,
,UNK180116,18-Jan-16,15:45,UNK,CA,Just off the main road on the road to Chilwero,17.81392,25.1524,,,,,,,,,8,,,7,,2,,-,-,,-,-,-,no,no,no,I think this is the troop that we see at the construction in the Plateau; they went into the Bush towards Wildlife,,,,,,,
,CSL180116,18-Jan-16,17:31,CSL,CA,maintenance,,,,,,,,,,,18,,,5,,,,,2,7,"7- emaciated, sneezing and 5- emaciated and lethargic ",1- biltong,-,no,no,no,,,,,,,,
,FOR180117,18-Jan-16,17:45,FOR,CA,near land board,17.80347,25.14867,,,,,,,,,9,,,4,,,,"Radiocollar, blue collar momma",-,,-,1- blue collar momma,-,no,no,no,,,,,,,,
,SP180116,18-Jan-16,18:30,Sewage Ponds,CA,behind the active den site,17.80627,25.183376,,,,,,,,,10,No,,-,,,,-,-,,-,-,-,no,no,no,Saw them as I was checking the camera; very timid and stayed in the bush,,,,,,,
,CSL190116,19-Jan-16,9:45,CSL,CA,beside jetty,,,,,,,,,,,21,,,-,,,,one of the sick ones and radiocollar,1,7,"7- emaciated, sneezing",-,-,no,no,no,,,,,,,,
,KUBU190116,19-Jan-16,19:00,KUBU,CA,Behind Buy n' Build ,17.79845,25.22059,,,,,,,,,15,,,-,,,,Radiocollar; pink collar,1,1,1- hunched back,-,-,no,no,no,,,,,,,,
,KUBU200116,20-Jan-16,8:30,KUBU,CA,not seen,-,-,,,,,,,,,-,,,-,,,,-,-,,-,-,-,no,no,no,"No signal from 8:30 to 9:48 around Kubu, Aliboats, BDF, or around the Kgotla",,,,,,,
,CSL200116,20-Jan-16,17:39,CSL,CA,Mariam's house,,,,,,,,,,,6,,,2,,,,one of the sick ones and radiocollar,1,7,"7- emaciated, sneezing, bleeding nose",-,-,no,no,no,,,,,,,,
,FOR200116,20-Jan-16,18:50,FOR,CA,Ntema's ,17.80213,25.14875,,,,,,,,,9,,,7,,,,"radiocollar, clip, plastic collar (forest green)",-,,-,-,-,no,no,no,,,,,,,,
,CCH210116,21-Jan-16,17:20,CCH,CA,Chalet 1,17.8289,25.13665,,,,,,,,,8,,,15,,,,"Half tail, radiocollar",1,3,"3- hunched back, matted fur",-,-,no,no,no,,,,,,,,
,FOR210116,21-Jan-16,18:00,FOR,CA,Ntema's ,17.8289,25.13665,,,,,,,,,5,,,-,,,,-,-,,-,-,-,no,no,no,,,,,,,,
,WCE220116,22-Jan-16,11:17,WCEast,CA,watercart termite mound,17.83544,25.10276,,,,,,,,,3,,,-,,,,-,-,,-,-,-,no,no,no,very timid ,,,,,,,
,CGL220116,22-Jan-16,12:00,CGL,CA,Bush adjacent to front lawns of lodge,17.84129,25.07511,,,,,,,,,8,,,-,,,,Radiocollar,1,4,"4- emaciated, swollen nose",1,limping,no,no,no,,,,,,,,
,KUBU220116,22-Jan-16,16:15,KUBU,CA,Foraging from the kitchen to around the stables,-,-,,,,,,,,,12,Yes,,3,,,,Radiocollar; pink collar,Maybe 1,1,1- hunched back,-,-,no,no,no,Confident about troop number,,,,,,,
,CSL220116,22-Jan-16,17:30,CSL,CA,Bush behind Bush Lodge,,,,,,,,,,,not seen ,,,,,,,,,,,,,no,no,no,signal in park,,,,,,,
,FOR210116,22-Jan-16,18:15,FOR,CA,crossing road from Ntema's to hospital housing,-,-,,,,,,,,,2,,,-,,,,-,-,,-,-,-,no ,no ,no,moved to Den at house beside hospital (FOR-D3),,,,,,,
,KUBU210116,21-Jan-16,8:00,KUBU,"CA, Mark, Warwick",Kubu Gate,17.80234,25.14883,,,,,,,,,8,,,-,,,,-,-,,-,-,-,no,no,no,foraging in tall grass,,,,,,,
